County,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total_Male,Total_Female,Total_age0to17,Total_age18to64,Total_age65plus,Total_age85plusr,All Specialties (AAMC),Cardiovascular Disease (AAMC),Pediatrics** (AAMC),Pulmonary Disease (AAMC),Geriatrics Primary Care (2019),Emergency Medicine specialists (2019),Cardiology specialists (2019),crime_rate_per_100000,Hotspot
Alachua County,3,6.3,2.4,8.7,7.6,21.7,28.1,42.5,3.3,51026,92,112766,282.7,128.9,130428,139528,48541,183579,37836,4599,715.9003726,20.82402649,44.11955947,5.323244751,1.330811188,37.11062055,26.7049445,6052451953,1
Baker County,2.1,0.2,2.2,2.4,15.5,42.8,28.4,13.4,3.4,52804,95.3,9687,46.3,16.6,14917,13438,6715,17625,4015,372,75.19505055,2.187264855,4.634125964,0.559130395,0.139782599,3.897937611,2.804970815,236922963,1
Bay County,1.4,2.3,3,5.3,9.7,31.4,36.1,22.8,4,51777,93.4,99650,222.6,131.4,91929,93358,39761,113848,31678,3803,491.3653793,14.29277881,30.28190081,3.653662264,0.913415566,25.4712455,18.32920569,4971797905,1
Bradford County,-2.2,0.3,23.5,23.8,21.7,39.7,28,10.6,3.3,45075,81.3,11011,97,37.5,15318,12414,5436,17361,4935,611,73.54290749,2.13920751,4.532307573,0.546845499,0.136711375,3.812294333,2.743341585,4841713222,0
Brevard County,-3.6,3,15.1,18.1,8,28.6,34.1,29.3,3.5,57612,103.9,269864,535,265.7,291903,304946,108913,346591,141345,18607,1582.792831,46.04009315,97.54447002,11.76922649,2.942306622,82.04832181,59.04228622,5379223453,1
Broward County,3,10.9,-5.3,5.6,11.2,27.4,29.5,31.9,3.4,57200,103.2,810388,1444.9,669.9,950568,1000692,412789,1214158,324313,46114,5174.575713,150.5174544,318.8991229,38.47676863,9.619192157,268.2380442,193.0251226,4709480521,1
Calhoun County,-2,0.2,12.2,12.4,21.9,41.9,26.3,9.9,4.1,38323,69.1,5999,25.8,10.6,7962,6625,2924,9032,2631,310,38.68348448,1.125220682,2.383988554,0.287640101,0.071910025,2.00526242,1.442994508,1362212233,0
Charlotte County,-9.7,2.1,26.3,28.4,9.7,33.8,33.3,23.2,4,52724,95.1,100632,235.2,147.9,90256,94742,22067,88537,74394,9602,490.5989759,14.27048575,30.23466885,3.647963492,0.911990873,25.43151691,18.30061685,242205711,1
Citrus County,-10.4,0.5,26.3,26.8,11.9,38.3,32.1,17.6,5.2,41556,75,78026,242.8,134.1,71714,76215,22036,72188,53705,6272,392.2951378,11.41103519,24.17639287,2.917002299,0.729250575,20.33567317,14.6336282,3238290814,0
Clay County,1.8,2.1,14.3,16.4,8.9,31.6,35.5,24.1,3.3,62835,113.4,75478,315.8,124.9,106560,109512,50209,131759,34104,3073,573.0045834,16.66749045,35.31316753,4.26070967,1.065177418,29.70323313,21.37456018,4063157144,1
